sitio,fecha,tra.par,no.esp.p,codigo.p,no.ind,no.flores.ind.1,no.flores.ind.2,no.flores.ind.3,no.flores.ind.4,no.flores.ind.5,no.flores.ind.6,no.flores.ind.7,no.flores.ind.8,no.flores.ind.9,no.flores.ind.10,no.flores.ind.11,no.flores.ind.12,no.flores.ind.13,no.flores.ind.14,flores.herb,flores.tot,observador,comentarios
V19,2010-10-28,P1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Diego,
V19,2010-10-28,P1,p0036,lec.het,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V19,2010-10-28,P1,p0037,opu.sul,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,Abriendo
V19,2010-10-28,P1,p0046,arj.lon,2,13,3,.,.,.,.,.,.,.,.,.,.,.,.,.,16,Diego,
V19,2010-10-28,P5,p0006,men.dec,40,2,6,1,7,1,2,3,7,4,7,.,.,.,.,.,160,Diego,
V19,2010-10-28,P5,p0021,sch.fas,3,4000,3000,500,.,.,.,.,.,.,.,.,.,.,.,.,7500,Diego,
V19,2010-10-28,P6,p0006,men.dec,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,Diego,Revisar numero de flores a partir de promedios
V19,2010-10-28,P6,p0006,men.dec,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90,Diego,Revisar numero de flores a partir de promedios
V19,2010-10-28,P6,p0046,arj.lon,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38.33,Diego,Revisar numero de flores a partir de promedios
V19,2010-10-28,P6,p0046,arj.lon,41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,164,Diego,Revisar numero de flores a partir de promedios
V19,2010-10-28,T1,p0015,cer.arv,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,Diego,
V19,2010-10-28,T1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,12,Diego,
V19,2010-10-28,T1,p0046,arj.lon,40,6,6,6,9,10,7,10,7,8,.,.,.,.,.,.,306.67,Diego,
V19,2010-10-28,T2,p0004,hel.don,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V19,2010-10-28,T2,p0006,men.dec,20,2,4,3,3,4,23,12,1,2,.,.,.,.,.,.,120,Diego,
V19,2010-10-28,T2,p0009,sen.aph,4,35,5,300,15,.,.,.,.,.,.,.,.,.,.,.,355,Diego,
V20,2010-10-28,P1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V20,2010-10-28,P2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V20,2010-10-28,P5,p0015,cer.arv,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,13,Diego,
V20,2010-10-28,P6,p0004,hel.don,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V20,2010-10-28,P6,p0021,sch.fas,1,350,.,.,.,.,.,.,.,.,.,.,.,.,.,.,350,Diego,
V20,2010-10-28,P6,p0035,lar.nit,2,150,50,.,.,.,.,.,.,.,.,.,.,.,.,.,200,Diego,
V20,2010-10-28,T1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V20,2010-10-28,T2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V21,2010-10-28,P1,p0004,hel.don,4,1,1,1,2,.,.,.,.,.,.,.,.,.,.,.,5,Diego,
V21,2010-10-28,P1,p0019,aca.ser,9,300,500,100,400,300,200,.,.,.,.,.,.,.,.,.,2700,Diego,
V21,2010-10-28,P1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,35,Diego,
V21,2010-10-28,P1,p0097,mon.dyc,1,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,Diego,
V21,2010-10-28,P1,p0101,hof.er2,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego,
V21,2010-10-28,P5,p0004,hel.don,10,1,1,1,1,2,2,3,1,1,1,.,.,.,.,.,14,Diego,
V21,2010-10-28,P5,p0093,den.rho,3,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,
V21,2010-10-28,P5,p0046,arj.lon,1,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,Diego,
V21,2010-10-28,T1,p0004,hel.don,4,1,1,1,1,.,.,.,.,.,.,.,.,.,.,.,4,Diego,
V21,2010-10-28,T1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Diego,
V21,2010-10-28,T1,p0094,lob.for,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V21,2010-10-28,T1,p0101,hof.er2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V21,2010-10-28,T1,p0046,arj.lon,6,4,3,10,11,11,.,.,.,.,.,.,.,.,.,.,46.8,Diego,
V4,2010-10-28,P1,p0011,lyc.chi,2,2,12,.,.,.,.,.,.,.,.,.,.,.,.,.,14,Silvia ,
V4,2010-10-28,P1,p0019,aca.ser,30,7,20,3,6,4,.,.,.,.,.,.,.,.,.,.,240,Silvia ,
V4,2010-10-28,P1,p0023,cle.mon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Silvia ,
V4,2010-10-28,P1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,20,Silvia ,
V4,2010-10-28,P1,p0034,lar.div,5,31,125,4,4,8,.,.,.,.,.,.,.,.,.,.,172,Silvia ,
V4,2010-10-28,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,Silvia ,
V4,2010-10-28,P1,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,Silvia ,
V4,2010-10-28,P2,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,20,Silvia ,celeste
V4,2010-10-28,P2,p0006,men.dec,2,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Silvia ,
V4,2010-10-28,P2,p0019,aca.ser,53,60,50,7,300,26,.,.,.,.,.,.,.,.,.,.,4695.8,Silvia ,
V4,2010-10-28,P2,p0021,sch.fas,1,500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,500,Silvia ,
V4,2010-10-28,P2,p0027,bou.spi,1,550,.,.,.,.,.,.,.,.,.,.,.,.,.,.,550,Silvia ,
V4,2010-10-28,P2,p0034,lar.div,2,175,10.56,.,.,.,.,.,.,.,.,.,.,.,.,.,185.56,Silvia ,
V4,2010-10-28,P2,p0046,arj.lon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,Silvia ,
V4,2010-10-28,P2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,280,280,Silvia ,
V4,2010-10-28,P2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,67,Silvia ,
V4,2010-10-28,P5,p0006,men.dec,10,2,2,2,1,2,1,.,.,.,.,.,.,.,.,.,16.67,Nachu,
V4,2010-10-28,P5,p0011,lyc.chi,1,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,Nachu,
V4,2010-10-28,P5,p0019,aca.ser,10,60,120,40,20,10,.,.,.,.,.,.,.,.,.,.,500,Nachu,
V4,2010-10-28,P5,p0032,con.mic,1,400,.,.,.,.,.,.,.,.,.,.,.,.,.,.,400,Nachu,
V4,2010-10-28,P5,p0034,lar.div,5,14,4,3,1,25,.,.,.,.,.,.,.,.,.,.,47,Nachu,
V4,2010-10-28,P5,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Nachu,
V4,2010-10-28,P6,p0006,men.dec,26,2,2,1,1,2,3,.,.,.,.,.,.,.,.,.,47.67,Nachu,
V4,2010-10-28,P6,p0019,aca.ser,94,250,70,10,20,200,30,.,.,.,.,.,.,.,.,.,9086.67,Nachu,
V4,2010-10-28,P6,p0034,lar.div,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nachu,
V4,2010-10-28,P6,p0046,arj.lon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,215,215,Nachu,
V4,2010-10-28,P6,p0050,hys.jas,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Nachu,
V4,2010-10-28,P6,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,Nachu,
V4,2010-10-28,P6,p0101,hof.er2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,Nachu,
V4,2010-10-28,P6,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nachu,
V4,2010-10-28,T1,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Silvia ,celeste
V4,2010-10-28,T1,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,31,Silvia ,blanca
V4,2010-10-28,T1,p0006,men.dec,10,1,3,1,5,1,2,.,.,.,.,.,.,.,.,.,21.67,Silvia ,
V4,2010-10-28,T1,p0019,aca.ser,22,53,6,6,28,10,107,.,.,.,.,.,.,.,.,.,770,Silvia ,
V4,2010-10-28,T1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Silvia ,
V4,2010-10-28,T1,p0034,lar.div,4,3,3.6,19,1.5,.,.,.,.,.,.,.,.,.,.,.,27.1,Silvia ,
V4,2010-10-28,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,28,Silvia ,
V4,2010-10-28,T1,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,58,Silvia ,
V4,2010-10-28,T2,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,26,Nachu,celeste
V4,2010-10-28,T2,p0006,men.dec,35,2,1,1,1,2,2,1,4,3,.,.,.,.,.,.,66.11,Nachu,
V4,2010-10-28,T2,p0019,aca.ser,45,800,800,300,400,200,.,.,.,.,.,.,.,.,.,.,22500,Nachu,
V4,2010-10-28,T2,p0034,lar.div,6,2,1,16,30,1,2,.,.,.,.,.,.,.,.,.,52,Nachu,
V4,2010-10-28,T2,p0047,dyp.gla,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nachu,
V4,2010-10-28,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,124,124,Nachu,
V4,2010-10-28,T2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,13,Nachu,
V4,2010-10-28,T2,p0101,hof.er2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nachu,
V4,2010-10-28,T2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,Nachu,
V1,2010-11-05,P1,p0021,sch.fas,1,52.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52.8,Nydia,
V1,2010-11-05,P1,p0034,Lar.div,7,1200,700,5,2500,1200,.,.,.,.,.,.,.,.,.,.,7847,Nydia,
V1,2010-11-05,P2,p0006,men.dec,14,3,2,3,8,1,.,.,.,.,.,.,.,.,.,.,47.6,Nydia,
V1,2010-11-05,P2,p0009,sen.aph,9,19,2,20,13,2.7,.,.,.,.,.,.,.,.,.,.,102.06,Nydia,
V1,2010-11-05,P2,p0019,aca.ser,14,5,13,6,20,6,.,.,.,.,.,.,.,.,.,.,140,Nydia,
V1,2010-11-05,P2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,63,Nydia,
V1,2010-11-05,P2,p0034,lar.div,2,14,29,.,.,.,.,.,.,.,.,.,.,.,.,.,43,Nydia,
V1,2010-11-05,P2,p0038,pro.fle,1,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,Nydia,"56 vainas 106 flores, 57 flores + 109 flores "
V1,2010-11-05,P2,p0046,arj.lon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Nydia,
V1,2010-11-05,P5,p0003,zuc.pun,1,140,.,.,.,.,.,.,.,.,.,.,.,.,.,.,140,Nydia,
V1,2010-11-05,P5,p0034,lar.div,9,15000,6000,35,2500,1700,.,.,.,.,.,.,.,.,.,.,45423,Nydia,
V1,2010-11-05,P6,p0003,zuc.pun,1,140,.,.,.,.,.,.,.,.,.,.,.,.,.,.,140,Nydia,
V1,2010-11-05,P6,p0006,men.dec,127,3,12,2,1,8,.,.,.,.,.,.,.,.,.,.,660.4,Nydia,
V1,2010-11-05,P6,p0009,sen.aph,5,89,17,36,3,25,.,.,.,.,.,.,.,.,.,.,170,Nydia,
V1,2010-11-05,P6,p0019,aca.ser,14,5,17,38,6,15,.,.,.,.,.,.,.,.,.,.,226.8,Nydia,
V1,2010-11-05,P6,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nydia,
V1,2010-11-05,P6,p0051,mon.aph,1,170,.,.,.,.,.,.,.,.,.,.,.,.,.,.,170,Nydia,
V1,2010-11-05,P6,p0101,hof.er2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Nydia,
V1,2010-11-05,T1,p0003,zuc.pun,1,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,Nydia,
V1,2010-11-05,T1,p0006,men.dec,112,5,3,1,1,1,.,.,.,.,.,.,.,.,.,.,246.4,Nydia,
V1,2010-11-05,T1,p0009,sen.aph,5,210,54,10,219,370,.,.,.,.,.,.,.,.,.,.,863,Nydia,
V1,2010-11-05,T1,p0019,aca.ser,58,1,3,6,12,6,.,.,.,.,.,.,.,.,.,.,324.8,Nydia,
V1,2010-11-05,T1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,14,Nydia,
V1,2010-11-05,T1,p0050,hys.jas,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nydia,
V1,2010-11-05,T1,p0051,mon.aph,1,220,.,.,.,.,.,.,.,.,.,.,.,.,.,.,220,Nydia,
V1,2010-11-05,T2,p0006,men.dec,120,1,1,2,1,1,.,.,.,.,.,.,.,.,.,.,144,Nydia,
V1,2010-11-05,T2,p0019,aca.ser,86,1200,1500,500,300,800,.,.,.,.,.,.,.,.,.,.,73960,Nydia,
V1,2010-11-05,T2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,Nydia,
V1,2010-11-05,T2,p0034,lar.div,15,6,22.5,60,20,50,.,.,.,.,.,.,.,.,.,.,475.5,Nydia,
V1,2010-11-05,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76,76,Nydia,
V1,2010-11-05,T2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,Nydia,
V1,2010-11-05,T2,p0101,hof.er2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,Nydia,
V18,2010-11-05,.,p0051,mon.aph,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V18,2010-11-05,P1,p0003,zuc.pun,5,50,80,10,25,75,.,.,.,.,.,.,.,.,.,.,240,Diego,
V18,2010-11-05,P1,p0034,lar.div,1,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,Diego,
V18,2010-11-05,P2,p0003,zuc.pun,1,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,Diego,
V18,2010-11-05,P2,p0009,sen.aph,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego,
V18,2010-11-05,P2,p0034,lar.div,2,900,1000,.,.,.,.,.,.,.,.,.,.,.,.,.,1900,Diego,
V18,2010-11-05,P5,p0006,men.dec,1,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,Diego,
V18,2010-11-05,P5,p0034,lar.div,8,50,600,100,200,100,750,200,100,.,.,.,.,.,.,.,2100,Diego,
V18,2010-11-05,P5,p0037,opu.sul,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego,
V18,2010-11-05,P6,p0003,zuc.pun,1,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,Diego,
V18,2010-11-05,P6,p0034,lar.div,8,600,150,40,300,266.67,200,150,100,.,.,.,.,.,.,.,1806.67,Diego,
V18,2010-11-05,T1,p0003,zuc.pun,2,10,10,.,.,.,.,.,.,.,.,.,.,.,.,.,20,Diego,
V18,2010-11-05,T1,p0006,men.dec,6,10,1,4,3,4,3,.,.,.,.,.,.,.,.,.,25,Diego,
V18,2010-11-05,T1,p0019,aca.ser,3,20,60,30,.,.,.,.,.,.,.,.,.,.,.,.,110,Diego,
V18,2010-11-05,T1,p0034,lar.div,1,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,Diego,
V18,2010-11-05,T2,p0003,zuc.pun,5,10,50,5,25,20,.,.,.,.,.,.,.,.,.,.,110,Diego,
V18,2010-11-05,T2,p0019,aca.ser,4,100,150,70,80,.,.,.,.,.,.,.,.,.,.,.,400,Diego,
V18,2010-11-05,T2,p0034,lar.div,1,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,Diego,
V20,2010-11-05,.,p0017,sal.gil,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V20,2010-11-05,.,p0032,con.mic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V20,2010-11-05,P1,p0018,bud.men,1,300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,300,Diego,
V20,2010-11-05,P1,p0019,aca.ser,35,400,250,100,300,100,50,60,100,.,.,.,.,.,.,.,5950,Diego,
V20,2010-11-05,P1,p0021,sch.fas,3,350,50,1000,.,.,.,.,.,.,.,.,.,.,.,.,1400,Diego,
V20,2010-11-05,P1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Diego,
V20,2010-11-05,P1,p0046,arj.lon,2,10,5,.,.,.,.,.,.,.,.,.,.,.,.,.,15,Diego,
V20,2010-11-05,P2,.,bacch.,6,300,250,300,200,150,80,.,.,.,.,.,.,.,.,.,1280,Diego,
V20,2010-11-05,P2,p0006,men.dec,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,414,Diego,Revisar numero de flores a partir de promedios
V20,2010-11-05,P2,p0046,arj.lon,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,124.67,Diego,Revisar numero de flores a partir de promedios
V20,2010-11-05,P5,p0006,men.dec,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,212.8,Diego,Revisar numero de flores a partir de promedios
V20,2010-11-05,P5,p0015,cer.arv,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86,86,Diego,
V20,2010-11-05,P5,p0021,sch.fas,1,800,.,.,.,.,.,.,.,.,.,.,.,.,.,.,800,Diego,
V20,2010-11-05,P6,p0006,men.dec,33,30,30,35,15,27,8,21,25,1,7,.,.,.,.,.,656.7,Diego,
V20,2010-11-05,P6,p0021,sch.fas,1,200,.,.,.,.,.,.,.,.,.,.,.,.,.,.,200,Diego,
V20,2010-11-05,P6,p0035,lar.nit,3,40,50,30,.,.,.,.,.,.,.,.,.,.,.,.,120,Diego,
V20,2010-11-05,P6,p0101,hof.er2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V20,2010-11-05,P6,p0046,arj.lon,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Diego,
V20,2010-11-05,T1,p0006,men.dec,12,5,2,1,1,2,2,9,2,2,12,.,.,.,.,.,45.6,Diego,
V20,2010-11-05,T1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,17,Diego,
V20,2010-11-05,T1,p0064,pol.sp,2,18,9,.,.,.,.,.,.,.,.,.,.,.,.,.,27,Diego,
V20,2010-11-05,T1,p0101,hof.er2,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego,
V20,2010-11-05,T1,p0046,arj.lon,24,6,5,8,4,3,7,4,6,8,.,.,.,.,.,.,136,Diego,
V20,2010-11-05,T1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,Diego,
V20,2010-11-05,T2,.,bacch.,5,40,20,40,30,25,.,.,.,.,.,.,.,.,.,.,155,Diego,
V20,2010-11-05,T2,p0004,hel.don,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V20,2010-11-05,T2,p0006,men.dec,35,5,2,18,22,5,8,5,10,8,7,.,.,.,.,.,315,Diego,
V20,2010-11-05,T2,p0009,sen.aph,4,75,125,60,20,.,.,.,.,.,.,.,.,.,.,.,280,Diego,
V20,2010-11-05,T2,p0021,sch.fas,2,600,60,.,.,.,.,.,.,.,.,.,.,.,.,.,660,Diego,
V20,2010-11-05,T2,p0032,con.mic,1,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,Diego,
V4,2010-11-05,P1,p0011,lyc.chi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,Nydia,
V4,2010-11-05,P1,p0019,aca.ser,89,11,21,37,35,62,.,.,.,.,.,.,.,.,.,.,2954.8,Nydia,
V4,2010-11-05,P1,p0034,lar.div,19,16,5,310,280,110,.,.,.,.,.,.,.,.,.,.,2739.8,Nydia,
V4,2010-11-05,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,Nydia,
V4,2010-11-05,P2,p0006,men.dec,11,14,17,10,7,6,.,.,.,.,.,.,.,.,.,.,118.8,Nydia,
V4,2010-11-05,P2,p0019,aca.ser,66,2000,570,36,400,40,.,.,.,.,.,.,.,.,.,.,40207.2,Nydia,
V4,2010-11-05,P2,p0021,sch.fas,1,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,Nydia,
V4,2010-11-05,P2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nydia,
V4,2010-11-05,P2,p0027,bou.spi,1,2.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,Nydia,
V4,2010-11-05,P2,p0034,lar.div,6,9,130,3000,485,260,.,.,.,.,.,.,.,.,.,.,4660.8,Nydia,
V4,2010-11-05,P2,p0054,sph.min,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nydia,
V4,2010-11-05,P2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,75,75,Nydia,
V4,2010-11-05,P2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nydia,
V4,2010-11-05,P2,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Nydia,azul
V4,2010-11-05,P5,p0003,zuc.pun,1,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80,Diego,
V4,2010-11-05,P5,p0003,zuc.pun,1,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80,Nydia,
V4,2010-11-05,P5,p0006,men.dec,30,25,15,13,5,17,.,.,.,.,.,.,.,.,.,.,450,Diego,
V4,2010-11-05,P5,p0006,men.dec,30,4,1,2,3,1,1,.,.,.,.,.,.,.,.,.,60,Nydia,
V4,2010-11-05,P5,p0019,aca.ser,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8347.86,Diego,Revisar numero de flores a partir de promedios
V4,2010-11-05,P5,p0019,aca.ser,29,300,200,250,700,506,.,.,.,.,.,.,.,.,.,.,11344.8,Nydia,
V4,2010-11-05,P5,p0034,lar.div,9,600,200,250,700,500,.,.,.,.,.,.,.,.,.,.,4050,Diego,
V4,2010-11-05,P5,p0034,lar.div,9,25,15,13,5,17,.,.,.,.,.,.,.,.,.,.,135,Nydia,
V4,2010-11-05,P5,p0101,hof.er2,6,4,1,2,3,1,1,.,.,.,.,.,.,.,.,.,12,Diego,
V4,2010-11-05,P5,p0101,hof.er2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Nydia,
V4,2010-11-05,P6,p0003,zuc.pun,6,12,50,2,15,70,20,.,.,.,.,.,.,.,.,.,169,Diego,
V4,2010-11-05,P6,p0003,zuc.pun,6,1.2,50,2,15,70,20,.,.,.,.,.,.,.,.,.,158.2,Nydia,
V4,2010-11-05,P6,p0004,hel.don,6,1,1,1,1,3,1,.,.,.,.,.,.,.,.,.,8,Diego,
V4,2010-11-05,P6,p0004,hel.don,6,1,1,1,3,1,.,.,.,.,.,.,.,.,.,.,8.4,Nydia,
V4,2010-11-05,P6,p0006,men.dec,35,2,3,1,2,5,2,.,.,.,.,.,.,.,.,.,87.5,Diego,
V4,2010-11-05,P6,p0006,men.dec,35,2,3,1,2,5,2,.,.,.,.,.,.,.,.,.,87.5,Nydia,
V4,2010-11-05,P6,p0019,aca.ser,45,140,150,600,650,100,75,300,.,.,.,.,.,.,.,.,12953.57,Diego,
V4,2010-11-05,P6,p0019,aca.ser,45,140,150,600,650,100,75,.,.,.,.,.,.,.,.,.,12862.5,Nydia,
V4,2010-11-05,P6,p0101,hof.er2,8,2,3,2,2,2,2,.,.,.,.,.,.,.,.,.,17.33,Diego,
V4,2010-11-05,P6,p0101,hof.er2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,Nydia,
V4,2010-11-05,T1,p0006,men.dec,39,5,1,23,17,2,.,.,.,.,.,.,.,.,.,.,374.4,Nydia,
V4,2010-11-05,T1,p0019,aca.ser,47,250,42,120,340,200,.,.,.,.,.,.,.,.,.,.,8948.8,Nydia,
V4,2010-11-05,T1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nydia,
V4,2010-11-05,T1,p0034,lar.div,17,575,48,190,6,125,.,.,.,.,.,.,.,.,.,.,3209.6,Nydia,
V4,2010-11-05,T2,p0006,men.dec,152,2,1,12,4,3,.,.,.,.,.,.,.,.,.,.,668.8,Nydia,
V4,2010-11-05,T2,p0019,aca.ser,80,700,1314,300,320,400,.,.,.,.,.,.,.,.,.,.,48544,Nydia,
V4,2010-11-05,T2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,23,Nydia,
V4,2010-11-05,T2,p0034,lar.div,17,97,42,120,30,100,.,.,.,.,.,.,.,.,.,.,1322.6,Nydia,
V4,2010-11-05,T2,p0047,dyp.gla,1,215,.,.,.,.,.,.,.,.,.,.,.,.,.,.,215,Nydia,
V4,2010-11-05,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,49,Nydia,
V4,2010-11-05,T2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Nydia,
V4,2010-11-05,T2,p0101,hof.er2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,26,Nydia,
V1,2010-11-10,P1,p0034,lar.div,6,320,50,980,2100,12,.,.,.,.,.,.,.,.,.,.,4154.4,Nydia,
V1,2010-11-10,P1,p0035,lar.nit,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V1,2010-11-10,P1,p0037,opu.sul,3,1,5,1,.,.,.,.,.,.,.,.,.,.,.,.,7,Nydia,
V1,2010-11-10,P2,p0003,zuc.pun,3,2,270,97.5,.,.,.,.,.,.,.,.,.,.,.,.,369.5,Nydia,
V1,2010-11-10,P2,p0003,zuc.pun,1,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,Nydia,
V1,2010-11-10,P2,p0004,hel.don,2,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Nydia,
