sitio,cuadrante,fecha,no.esp.p,codigo.p,genero.p,especie.p,no.indiv,flores.prom.indiv,gpflor.ind,flores.tot,gp.tot
V1,36,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,1,4,5625,4,22500
V1,39,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,3,4,5625,12,67500
V4,1,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,6,4,5625,24,135000
V4,2,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,2,4,5625,8,45000
V4,3,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,1,4,5625,4,22500
V4,4,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,7,4,5625,28,157500
V4,7,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,4,4,5625,16,90000
V4,10,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,2,4,5625,8,45000
V4,23,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,3,4,5625,12,67500
V4,26,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,1,4,5625,4,22500
V4,30,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,1,4,5625,4,22500
V4,32,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,4,4,5625,16,90000
V4,33,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,1,4,5625,4,22500
V4,36,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,4,4,5625,16,90000
V4,37,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,6,4,5625,24,135000
V1,F3,2007-10-19,p0057,ero.cic,Erodium ,cicatarium,1,6,5625,6,33750
V4,F1,2007-10-19,p0057,ero.cic,Erodium ,cicatarium,32,6,5625,192,1080000
V4,F2,2007-10-19,p0057,ero.cic,Erodium ,cicatarium,40,6,5625,240,1350000
V4,F3,2007-10-19,p0057,ero.cic,Erodium ,cicatarium,11,6,5625,66,371250
V4,F4,2007-10-19,p0057,ero.cic,Erodium ,cicatarium,16,6,5625,96,540000
V4,F5,2007-10-19,p0057,ero.cic,Erodium ,cicatarium,4,6,5625,24,135000
V1,F1,2007-10-23,p0057,ero.cic,Erodium ,cicatarium,22,2,5625,44,247500
V1,F2,2007-10-23,p0057,ero.cic,Erodium ,cicatarium,80,2,5625,160,900000
V1,F3,2007-10-23,p0057,ero.cic,Erodium ,cicatarium,15,2,5625,30,168750
V1,F4,2007-10-23,p0057,ero.cic,Erodium ,cicatarium,165,2,5625,330,1856250
V1,F5,2007-10-23,p0057,ero.cic,Erodium ,cicatarium,15,2,5625,30,168750
V1,F1,2007-10-29,p0057,ero.cic,Erodium ,cicatarium,2,2,5625,4,22500
V2,F2,2007-10-29,p0057,ero.cic,Erodium ,cicatarium,1,2,5625,2,11250
V2,F3,2007-10-29,p0057,ero.cic,Erodium ,cicatarium,1,2,5625,2,11250
V2,F4,2007-10-29,p0057,ero.cic,Erodium ,cicatarium,10,2,5625,20,112500
V1,2,2007-10-02,p0059,des.sp1,Descurainia,sp.,10,10,153125,100,15312500
V1,9,2007-10-02,p0059,des.sp1,Descurainia,sp.,20,10,153125,200,30625000
V1,F3,2007-10-19,p0059,des.sp1,Descurainia,sp.,1,10,153125,10,1531250
V1,F5,2007-10-19,p0059,des.sp1,Descurainia,sp.,4,10,153125,40,6125000
V4,F1,2007-10-19,p0059,des.sp1,Descurainia,sp.,2,10,153125,20,3062500
V4,F2,2007-10-19,p0059,des.sp1,Descurainia,sp.,10,10,153125,100,15312500
V4,F3,2007-10-19,p0059,des.sp1,Descurainia,sp.,4,10,153125,40,6125000
V4,F4,2007-10-19,p0059,des.sp1,Descurainia,sp.,12,10,153125,120,18375000
V1,F1,2007-10-23,p0059,des.sp1,Descurainia,sp.,31,10,153125,310,47468750
V1,F2,2007-10-23,p0059,des.sp1,Descurainia,sp.,1,10,153125,10,1531250
V1,F3,2007-10-23,p0059,des.sp1,Descurainia,sp.,1,10,153125,10,1531250
V1,F5,2007-10-23,p0059,des.sp1,Descurainia,sp.,1,10,153125,10,1531250
V4,F4,2007-10-23,p0059,des.sp1,Descurainia,sp.,2,10,153125,20,3062500
V2,F3,2007-10-29,p0059,des.sp1,Descurainia,sp.,2,10,153125,20,3062500
V1,F2,2007-10-29,p0061,phi.gil,Philibertia,gilliesii,2,.,0,.,.
V1,F2,2007-11-13,p0061,phi.gil,Philibertia,gilliesii,1,.,0,.,.
V4,F3,2007-11-13,p0061,phi.gil,Philibertia,gilliesii,1,.,0,.,.
V1,F2,2007-11-27,p0062,cen.sol,Centaurea ,solstialis,5,18,.,.,.
V1,F4,2007-11-27,p0062,cen.sol,Centaurea ,solstialis,1,18,.,.,.
V1,F5,2007-12-04,p0062,cen.sol,Centaurea ,solstialis,2,18,.,.,.
V2,F3,2007-10-29,p0066,pha.art,Phacelia ,artemisiodes,6,30,118333,180,21299940
V4,F3,2007-10-19,p0068,gla.sp1,Glandularia,sp.,18,10,125833,180,22649940
V4,F5,2007-10-19,p0068,gla.sp1,Glandularia,sp.,100,10,125833,1000,125833000
V1,F5,2007-10-29,p0068,gla.sp1,Glandularia,sp.,26,10,125833,260,32716580
V2,F3,2007-10-29,p0068,gla.sp1,Glandularia,sp.,15,10,125833,150,18874950
V2,F4,2007-10-29,p0068,gla.sp1,Glandularia,sp.,17,10,125833,170,21391610
V2,F5,2007-10-29,p0068,gla.sp1,Glandularia,sp.,60,10,125833,600,75499800
V2,F3,2007-11-06,p0068,gla.sp1,Glandularia,sp.,7,10,125833,70,8808310
V2,F4,2007-11-06,p0068,gla.sp1,Glandularia,sp.,1,10,125833,10,1258330
V2,F5,2007-11-06,p0068,gla.sp1,Glandularia,sp.,1,10,125833,10,1258330
V4,F5,2007-11-20,p0068,gla.sp1,Glandularia,sp.,5,10,125833,50,6291650
V1,F3,2007-10-29,p0069,sen.gil,Senecio ,gilliesianus ,1,.,.,.,.
V1,F3,2007-11-13,p0069,sen.gil,Senecio ,gilliesianus ,1,.,.,.,.
V4,F3,2007-10-23,p0070,gla.cri,Glandularia,crithmifolia,35,10,44444,350,15555400
V4,F4,2007-10-23,p0070,gla.cri,Glandularia,crithmifolia,94,10,44444,940,41777360
V4,F2,2007-10-29,p0070,gla.cri,Glandularia,crithmifolia,10,10,44444,100,4444400
V4,F3,2007-10-29,p0070,gla.cri,Glandularia,crithmifolia,100,10,44444,1000,44444000
V4,F4,2007-10-29,p0070,gla.cri,Glandularia,crithmifolia,133,10,44444,1330,59110520
V4,F5,2007-10-29,p0070,gla.cri,Glandularia,crithmifolia,130,10,44444,1300,57777200
V4,F3,2007-11-06,p0070,gla.cri,Glandularia,crithmifolia,180,10,44444,1800,79999200
V4,F4,2007-11-06,p0070,gla.cri,Glandularia,crithmifolia,75,10,44444,750,33333000
V4,F5,2007-11-06,p0070,gla.cri,Glandularia,crithmifolia,70,10,44444,700,31110800
V2,F5,2007-11-13,p0070,gla.cri,Glandularia,crithmifolia,1,10,44444,10,444440
V4,F3,2007-11-13,p0070,gla.cri,Glandularia,crithmifolia,6,10,44444,60,2666640
V4,F4,2007-11-13,p0070,gla.cri,Glandularia,crithmifolia,5,10,44444,50,2222200
V4,F5,2007-11-13,p0070,gla.cri,Glandularia,crithmifolia,5,10,44444,50,2222200
V1,1,2007-10-02,p0071,gla.sp2,Glandularia,sp.,4,10,125833,40,5033320
V1,7,2007-10-02,p0071,gla.sp2,Glandularia,sp.,1,10,125833,10,1258330
V1,22,2007-10-02,p0071,gla.sp2,Glandularia,sp.,50,10,125833,500,62916500
V1,30,2007-10-02,p0071,gla.sp2,Glandularia,sp.,10,10,125833,100,12583300
V1,34,2007-10-02,p0071,gla.sp2,Glandularia,sp.,1,10,125833,10,1258330
V1,F1,2007-10-23,p0072,pla.pat,Plantago ,patagonica,145,700,0,101500,0
V1,F2,2007-10-23,p0072,pla.pat,Plantago ,patagonica,130,700,0,91000,0
V1,F3,2007-10-23,p0072,pla.pat,Plantago ,patagonica,365,700,0,255500,0
V1,F4,2007-10-23,p0072,pla.pat,Plantago ,patagonica,610,700,0,427000,0
V1,F5,2007-10-23,p0072,pla.pat,Plantago ,patagonica,950,700,0,665000,0
V4,F2,2007-10-23,p0072,pla.pat,Plantago ,patagonica,120,700,0,84000,0
V4,F3,2007-10-23,p0072,pla.pat,Plantago ,patagonica,50,700,0,35000,0
V4,F1,2007-10-29,p0072,pla.pat,Plantago ,patagonica,200,700,0,140000,0
V4,F2,2007-10-29,p0072,pla.pat,Plantago ,patagonica,200,700,0,140000,0
V4,F5,2007-10-29,p0072,pla.pat,Plantago ,patagonica,600,700,0,420000,0
V4,F5,2007-10-19,p0073,oen.odo,Oenothera ,odorata,1,3,344444,3,1033332
V1,14,2007-10-02,p0085,med.lup,Medicago ,lupulina,20,.,.,.,.
V1,21,2007-10-02,p0085,med.lup,Medicago ,lupulina,3,.,.,.,.
V1,23,2007-10-02,p0085,med.lup,Medicago ,lupulina,2,.,.,.,.
V1,24,2007-10-02,p0085,med.lup,Medicago ,lupulina,2,.,.,.,.
V1,27,2007-10-02,p0085,med.lup,Medicago ,lupulina,2,.,.,.,.
V1,29,2007-10-02,p0085,med.lup,Medicago ,lupulina,10,.,.,.,.
V1,31,2007-10-02,p0085,med.lup,Medicago ,lupulina,3,.,.,.,.
V1,33,2007-10-02,p0085,med.lup,Medicago ,lupulina,5,.,.,.,.
V1,35,2007-10-02,p0085,med.lup,Medicago ,lupulina,3,.,.,.,.
V1,36,2007-10-02,p0085,med.lup,Medicago ,lupulina,2,.,.,.,.
V1,37,2007-10-02,p0085,med.lup,Medicago ,lupulina,4,.,.,.,.
V1,38,2007-10-02,p0085,med.lup,Medicago ,lupulina,2,.,.,.,.
V1,39,2007-10-02,p0085,med.lup,Medicago ,lupulina,1,.,.,.,.
V1,40,2007-10-02,p0085,med.lup,Medicago ,lupulina,5,.,.,.,.
V4,F1,2007-10-23,p0085,med.lup,Medicago ,lupulina,55,.,.,.,.
V4,F5,2007-10-29,p0085,med.lup,Medicago ,lupulina,5,.,.,.,.
V1,F1,2007-10-23,p0092,sal.kal,Salsola,kali,2,.,.,.,.
V1,F1,2007-10-29,p0092,sal.kal,Salsola,kali,2,.,.,.,.
