Genero.especie,Nombre_aceptado_GBIF,Nombre_aceptado_rWCVP,Nombre_aceptado_WFO,Comparacion_tres_fuentes,Detalle_comparacion
Liatris.pycnostachya,Liatris pycnostachya,Liatris pycnostachya,Liatris pycnostachya,Coinciden,Coinciden las tres fuentes
Libanotis.coreana,Seseli coreanum,Seseli coreanum,Seseli coreanum,Coinciden,Coinciden las tres fuentes
Ligularia.dentata,Ligularia dentata,Ligularia dentata,Ligularia dentata,Coinciden,Coinciden las tres fuentes
Ligularia.japonica,Ligularia japonica,Ligularia japonica,Ligularia japonica,Coinciden,Coinciden las tres fuentes
Ligularia.fischerii,Ligularia fischeri,Ligularia fischeri,Ligularia fischeri,Coinciden,Coinciden las tres fuentes
Ligustrum.japonicum,Ligustrum japonicum,Ligustrum japonicum,Ligustrum japonicum,Coinciden,Coinciden las tres fuentes
Ligustrum.obtusifolium,Ligustrum obtusifolium,Ligustrum obtusifolium,Ligustrum obtusifolium,Coinciden,Coinciden las tres fuentes
Lilium.leichtlinii,Lilium leichtlinii,Lilium leichtlinii,Lilium leichtlinii,Coinciden,Coinciden las tres fuentes
Lilium.superbum,Lilium superbum,,Lilium superbum,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Limophila.sessiliflora,,Limnophila sessiliflora,Limnophila sessiliflora,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Linaria.vulgaris,Linaria vulgaris,,Linaria vulgaris,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Lindera.sericea,Lindera sericea,Lindera sericea,Lindera sericea,Coinciden,Coinciden las tres fuentes
Lindera.obtusiloba,Lindera obtusiloba,Lindera obtusiloba,Lindera obtusiloba,Coinciden,Coinciden las tres fuentes
Lindera.umbellata,Lindera umbellata,Lindera umbellata,Lindera umbellata,Coinciden,Coinciden las tres fuentes
Lindernia.procumbens,Lindernia procumbens,Lindernia procumbens,Lindernia procumbens,Coinciden,Coinciden las tres fuentes
Lindernia.dubia,Lindernia dubia,Lindernia dubia,Lindernia dubia,Coinciden,Coinciden las tres fuentes
Linnaea.borealis,Linnaea borealis,Linnaea borealis,Linnaea borealis,Coinciden,Coinciden las tres fuentes
Linum.strictum,Linum strictum,Linum strictum,Linum strictum,Coinciden,Coinciden las tres fuentes
Linum.catharticum,Linum catharticum,Linum catharticum,Linum catharticum,Coinciden,Coinciden las tres fuentes
Linum.sp1.M.PL.058,,,,Revisar,Sin resultados en las tres fuentes
Liparis.liliifolia,Liparis liliifolia,Liparis liliifolia,Liparis liliifolia,Coinciden,Coinciden las tres fuentes
Lippia.lanceolata,Phyla lanceolata,Phyla lanceolata,Phyla lanceolata,Coinciden,Coinciden las tres fuentes
Lippia.rosmarinifolia,Lippia rosmarinifolia,Lippia rosmarinifolia,Lippia rosmarinifolia,Coinciden,Coinciden las tres fuentes
Lippia.nodiflora,Phyla nodiflora,Phyla nodiflora,Phyla nodiflora,Coinciden,Coinciden las tres fuentes
Liriope.platyphylla,Liriope muscari,Liriope muscari,Liriope muscari,Coinciden,Coinciden las tres fuentes
Lithospermum.canescens,Lithospermum canescens,,Lithospermum canescens,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Litsea.japonica,Litsea japonica,Litsea japonica,Litsea japonica,Coinciden,Coinciden las tres fuentes
Litsea.citriodora,Lindera citriodora,Lindera citriodora,Lindera citriodora,Coinciden,Coinciden las tres fuentes
Loasa.incurva.,Pinnasa incurva,Pinnasa incurva,Pinnasa incurva,Coinciden,Coinciden las tres fuentes
Loasa.heterophylla,Loasa heterophylla,Loasa heterophylla,Loasa heterophylla,Coinciden,Coinciden las tres fuentes
Loasa.sigmoidea,Loasa sigmoidea,Loasa sigmoidea,Loasa sigmoidea,Coinciden,Coinciden las tres fuentes
Loasa.caespitosa,Loasa caespitosa,Loasa caespitosa,Loasa caespitosa,Coinciden,Coinciden las tres fuentes
Lobelia.inflata,Lobelia inflata,Lobelia inflata,Lobelia inflata,Coinciden,Coinciden las tres fuentes
Lobelia.cardinalis,Lobelia cardinalis,Lobelia cardinalis,Lobelia cardinalis,Coinciden,Coinciden las tres fuentes
Lobelia.spicata,Lobelia spicata,,Lobelia spicata,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Lobelia.leptostachys,Lobelia spicata,Lobelia spicata,Lobelia spicata,Coinciden,Coinciden las tres fuentes
Lobelia.siphilitica,Lobelia siphilitica,Lobelia siphilitica,Lobelia siphilitica,Coinciden,Coinciden las tres fuentes
Lobelia.cardinalis.x.siphilitica,,,,Revisar,Sin resultados en las tres fuentes
Lonicera.morrowii,Lonicera morrowii,Lonicera morrowii,Lonicera morrowii,Coinciden,Coinciden las tres fuentes
Lonicera.sullivantii,Lonicera reticulata,Lonicera reticulata,Lonicera reticulata,Coinciden,Coinciden las tres fuentes
Lonicera.gracilipes,Lonicera gracilipes,Lonicera gracilipes,Lonicera gracilipes,Coinciden,Coinciden las tres fuentes
Lonicera.sempervirens,Lonicera sempervirens,Lonicera sempervirens,Lonicera sempervirens,Coinciden,Coinciden las tres fuentes
Lonicera.alpigena.,Lonicera alpigena,,Lonicera alpigena,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Lonicera.periclymenum,Lonicera periclymenum,,Lonicera periclymenum,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Lotus.glaucus,Lotus glaucus,,Lotus glaucus,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Lotus.sp1.M.PL.050,,,,Revisar,Sin resultados en las tres fuentes
Lotus.corniculatus,Lotus corniculatus,Lotus corniculatus,Lotus corniculatus,Coinciden,Coinciden las tres fuentes
Lotus.uliginosus,,,Lotus corniculatus subsp. corniculatus,Revisar,Falta resultado en una o más fuentes
Ludvigia.alternifolia,,,Ludwigia alternifolia,Revisar,Falta resultado en una o más fuentes
Ludvigia.polycarpa,,Ludwigia polycarpa,Ludwigia polycarpa,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Ludwigia.epilobioides,Ludwigia epilobioides,Ludwigia epilobioides,Ludwigia epilobioides,Coinciden,Coinciden las tres fuentes
Ludwigia.decurrens,Ludwigia decurrens,Ludwigia decurrens,Ludwigia decurrens,Coinciden,Coinciden las tres fuentes
Ludwigia.nervosa,Ludwigia nervosa,Ludwigia nervosa,Ludwigia nervosa,Coinciden,Coinciden las tres fuentes
Ludwigia.octovalvis,Ludwigia octovalvis,Ludwigia octovalvis,Ludwigia octovalvis,Coinciden,Coinciden las tres fuentes
Luma.apiculata,Luma apiculata,Luma apiculata,Luma apiculata,Coinciden,Coinciden las tres fuentes
Lupinus.microcarpus,Lupinus microcarpus,Lupinus microcarpus,Lupinus microcarpus,Coinciden,Coinciden las tres fuentes
Lupinus.polyphyllus,Lupinus polyphyllus,Lupinus polyphyllus,Lupinus polyphyllus,Coinciden,Coinciden las tres fuentes
Luzula.capitata,Luzula capitata,Luzula capitata,Luzula capitata,Coinciden,Coinciden las tres fuentes
Luzuriaga.polyphylla,Luzuriaga polyphylla,Luzuriaga polyphylla,Luzuriaga polyphylla,Coinciden,Coinciden las tres fuentes
Luzuriaga.radicans,Luzuriaga radicans,Luzuriaga radicans,Luzuriaga radicans,Coinciden,Coinciden las tres fuentes
Lychnis.flos-cuculi,Silene flos-cuculi,Silene flos-cuculi,Silene flos-cuculi,Coinciden,Coinciden las tres fuentes
Lychnis.gracillima,Silene gracillima,Silene gracillima,,Revisar,Coinciden GBIF y rWCVP; WFO sin resultado
Lycopersicon.cheesmanii.minor,,Solanum cheesmaniae,Solanum cheesmaniae,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Lycopersicon.cheesmanii,Lycopersicon cheesmanii,Solanum cheesmaniae,Solanum cheesmaniae,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Lycopus.rubellus,Lycopus rubellus,Lycopus rubellus,Lycopus rubellus,Coinciden,Coinciden las tres fuentes
Lycopus.americanus,Lycopus americanus,Lycopus americanus,Lycopus americanus,Coinciden,Coinciden las tres fuentes
Lycopus.ramosissimus,Lycopus cavaleriei,Lycopus cavaleriei,Lycopus cavaleriei,Coinciden,Coinciden las tres fuentes
Lyonia.ovalifolia,Lyonia ovalifolia,Lyonia ovalifolia,Lyonia ovalifolia,Coinciden,Coinciden las tres fuentes
Lysimachia.mauiriana,,Lysimachia mauritiana,Lysimachia mauritiana,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Lysimachia.vulgaris,Lysimachia vulgaris,,Lysimachia vulgaris,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Lysimachia.fortunei,Lysimachia fortunei,Lysimachia fortunei,Lysimachia fortunei,Coinciden,Coinciden las tres fuentes
Lysimachia.nummularia,Lysimachia nummularia,Lysimachia nummularia,Lysimachia nummularia,Coinciden,Coinciden las tres fuentes
Lysimachia.clethroides,Lysimachia clethroides,Lysimachia clethroides,Lysimachia clethroides,Coinciden,Coinciden las tres fuentes
Lythrum.salicaria,Lythrum salicaria,Lythrum salicaria,Lythrum salicaria,Coinciden,Coinciden las tres fuentes
Lythrum.alatum,Lythrum alatum,,Lythrum alatum,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Lythrum.anceps,Lythrum salicaria,Lythrum salicaria,Lythrum salicaria,Coinciden,Coinciden las tres fuentes
Maackia.tashiroi,Maackia tashiroi,Maackia tashiroi,Maackia tashiroi,Coinciden,Coinciden las tres fuentes
Macairea.pachyphylla,Macairea pachyphylla,Macairea pachyphylla,Macairea pachyphylla,Coinciden,Coinciden las tres fuentes
Macairea.parvifolia,Macairea parvifolia,Macairea parvifolia,Macairea parvifolia,Coinciden,Coinciden las tres fuentes
Machitus.thunbergii,,Machilus thunbergii,Machilus thunbergii,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Macleaya.cordata,Macleaya cordata,Macleaya cordata,Macleaya cordata,Coinciden,Coinciden las tres fuentes
Macraea.laricifolia,Trigonopterum laricifolium,Trigonopterum laricifolium,Macraea laricifolia,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Madia.sativa,Madia sativa,Madia sativa,Madia sativa,Coinciden,Coinciden las tres fuentes
Maesa.tenera,Maesa perlaria var. formosana,Maesa tenera,Maesa tenera,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Magnolia.salicifolia,Magnolia salicifolia,Magnolia salicifolia,Magnolia salicifolia,Coinciden,Coinciden las tres fuentes
Mahonia.japonica,Mahonia japonica,Berberis japonica,Berberis japonica,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Maianthemum.canadense,Maianthemum canadense,Maianthemum canadense,Maianthemum canadense,Coinciden,Coinciden las tres fuentes
Malcolmia.chia,Malcolmia chia,Malcolmia chia,Malcolmia chia,Coinciden,Coinciden las tres fuentes
Malesherbia.linearifolius,Malesherbia linearifolia,Malesherbia linearifolia,Malesherbia linearifolia,Coinciden,Coinciden las tres fuentes
Mallotus.japonicus,Mallotus japonicus,Mallotus japonicus,Mallotus japonicus,Coinciden,Coinciden las tres fuentes
Malpighia.glabra,Malpighia glabra,Malpighia glabra,Malpighia glabra,Coinciden,Coinciden las tres fuentes
Malus.sieboldii,Malus toringo,Malus toringo,Malus toringo,Coinciden,Coinciden las tres fuentes
Malus.halliana,Malus halliana,Malus halliana,Malus halliana,Coinciden,Coinciden las tres fuentes
Malva.rotundifolia,,,Malva pusilla,Revisar,Falta resultado en una o más fuentes
Malva.sylvestris,Malva sylvestris,Malva sylvestris,Malva sylvestris,Coinciden,Coinciden las tres fuentes
Malvastrum.coccineum,Sphaeralcea coccinea,Sphaeralcea coccinea,Sphaeralcea coccinea,Coinciden,Coinciden las tres fuentes
Malvastrum.coromandelianum,Malvastrum coromandelianum,Malvastrum coromandelianum,Malvastrum coromandelianum,Coinciden,Coinciden las tres fuentes
Mandevilla.benthamii,Mandevilla benthamii,Mandevilla benthamii,Mandevilla benthamii,Coinciden,Coinciden las tres fuentes
Marcetia.taxifolia,Marcetia taxifolia,Marcetia taxifolia,Marcetia taxifolia,Coinciden,Coinciden las tres fuentes
Marrubium.vulgare,Marrubium vulgare,Marrubium vulgare,Marrubium vulgare,Coinciden,Coinciden las tres fuentes
Martynia.louisiana,Proboscidea louisianica subsp. louisianica,Proboscidea louisianica subsp. louisianica,Proboscidea louisianica subsp. louisianica,Coinciden,Coinciden las tres fuentes
Medeola.virginiana,Medeola virginiana,Medeola virginiana,Medeola virginiana,Coinciden,Coinciden las tres fuentes
Medicago.lupulina,Medicago lupulina,Medicago lupulina,Medicago lupulina,Coinciden,Coinciden las tres fuentes
Medusagyne.oppositifolia,Medusagyne oppositifolia,Medusagyne oppositifolia,Medusagyne oppositifolia,Coinciden,Coinciden las tres fuentes
Meehania.urticifolia,Meehania urticifolia,Meehania urticifolia,Meehania urticifolia,Coinciden,Coinciden las tres fuentes
Melandrium.triflorum,Silene sorensenis,Silene sorensenis,Silene taimyrensis,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Melanthium.virginicum,Melanthium virginicum,Melanthium virginicum,Melanthium virginicum,Coinciden,Coinciden las tres fuentes
Melastoma.candidum,Melastoma malabathricum subsp. malabathricum,Melastoma malabathricum subsp. malabathricum,Melastoma malabathricum subsp. malabathricum,Coinciden,Coinciden las tres fuentes
Melilotus.officinalis,Melilotus officinalis,Melilotus officinalis,Melilotus officinalis,Coinciden,Coinciden las tres fuentes
Melilotus.albus,Melilotus albus,Melilotus albus,Melilotus albus,Coinciden,Coinciden las tres fuentes
Melilotus.alba,Melilotus officinalis,Melilotus albus,Melilotus albus,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Meliosma.oldhamii,Meliosma oldhamii,Meliosma oldhamii,Meliosma oldhamii,Coinciden,Coinciden las tres fuentes
Meliosma.rigida,Meliosma rigida,Meliosma rigida,Meliosma rigida,Coinciden,Coinciden las tres fuentes
Meliosma.tenuis,Meliosma tenuis,Meliosma tenuis,Meliosma tenuis,Coinciden,Coinciden las tres fuentes
Melochia.villosa,Melochia spicata,Melochia spicata var. spicata,Melochia villosa,Revisar,Los tres nombres aceptados son diferentes
Melochia.nodiflora,Melochia nodiflora,Melochia nodiflora,Melochia nodiflora,Coinciden,Coinciden las tres fuentes
Memecylon.eleagni,Memecylon elaeagni,Memecylon elaeagni,Memecylon elaeagni,Coinciden,Coinciden las tres fuentes
Memecylon.ovatifolium,Memecylon ovatifolium,Memecylon ovatifolium,Memecylon ovatifolium,Coinciden,Coinciden las tres fuentes
Menonvillea.hookeri.,Menonvillea scapigera subsp. longipes,Menonvillea scapigera subsp. longipes,Menonvillea scapigera subsp. longipes,Coinciden,Coinciden las tres fuentes
Mentha.arvensis,Mentha arvensis,Mentha arvensis,Mentha arvensis,Coinciden,Coinciden las tres fuentes
Mentha.aquatica,Mentha aquatica,Mentha aquatica,Mentha aquatica,Coinciden,Coinciden las tres fuentes
Mentha.longifolia,Mentha longifolia,Mentha longifolia,Mentha longifolia,Coinciden,Coinciden las tres fuentes
Mentzelia.aspera,Mentzelia aspera,,Mentzelia aspera,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Mentzelia.multiflora,Mentzelia multiflora,Mentzelia multiflora,Mentzelia multiflora,Coinciden,Coinciden las tres fuentes
Menziesia.pentandra,Rhododendron pentandrum,Rhododendron pentandrum,Rhododendron pentandrum,Coinciden,Coinciden las tres fuentes
Meriana.sclerophylla,,Meriania sclerophylla,Meriania sclerophylla,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Merremia.umbellata,Merremia umbellata,Camonea umbellata,Camonea umbellata,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Mertensia.sibirica,Mertensia sibirica,Mertensia sibirica,Mertensia sibirica,Coinciden,Coinciden las tres fuentes
Mertensia.virginica,Mertensia virginica,Mertensia virginica,Mertensia virginica,Coinciden,Coinciden las tres fuentes
Mertensia.pratensis,Mertensia pratensis,Mertensia pratensis,Mertensia pratensis,Coinciden,Coinciden las tres fuentes
Metothria.tiukiuensis,,Zehneria guamensis,Zehneria liukiuensis,Revisar,Falta resultado en una o más fuentes
Miconia.stephananthera,Miconia stephananthera,Miconia stephananthera,Miconia stephananthera,Coinciden,Coinciden las tres fuentes
Miconia.robinsoniana,Miconia robinsoniana,Miconia robinsoniana,Miconia robinsoniana,Coinciden,Coinciden las tres fuentes
Miconia.ciliata,Miconia ciliata,Miconia ciliata,Miconia ciliata,Coinciden,Coinciden las tres fuentes
Miconia.sp1.M.PL.040,,,,Revisar,Sin resultados en las tres fuentes
Miconia.striata,Miconia striata,Miconia striata,Miconia striata,Coinciden,Coinciden las tres fuentes
Microseris.lanceolata,Microseris lanceolata,Microseris lanceolata,Microseris lanceolata,Coinciden,Coinciden las tres fuentes
Mikania.psilotachya,,Mikania psilostachya,Mikania psilostachya,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Mikania.micrantha,Mikania micrantha,Mikania micrantha,Mikania micrantha,Coinciden,Coinciden las tres fuentes
Mimosa.casta,Mimosa casta,Mimosa casta,Mimosa casta,Coinciden,Coinciden las tres fuentes
Mimosa.camporum,Mimosa camporum,Mimosa camporum,Mimosa camporum,Coinciden,Coinciden las tres fuentes
Mimosa.pudica,Mimosa pudica,Mimosa pudica,Mimosa pudica,Coinciden,Coinciden las tres fuentes
Mimosa.tandilensis,Mimosa tandilensis,Mimosa tandilensis,Mimosa tandilensis,Coinciden,Coinciden las tres fuentes
Mimulus.alatus,Mimulus alatus,Mimulus alatus,Mimulus alatus,Coinciden,Coinciden las tres fuentes
Mimulus.ringens,Mimulus ringens,Mimulus ringens,Mimulus ringens,Coinciden,Coinciden las tres fuentes
Mimulus.sp1.M.PL.023,,,,Revisar,Sin resultados en las tres fuentes
Mimusops.sechellarum,Mimusops sechellarum,Mimusops sechellarum,Mimusops sechellarum,Coinciden,Coinciden las tres fuentes
Mimusops.erythroxylon,Mimusops erythroxylon,,Mimusops erythroxylon,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Mirabilis.jalapa,Mirabilis jalapa,Mirabilis jalapa,Mirabilis jalapa,Coinciden,Coinciden las tres fuentes
Miraglossum.verticillare,Miraglossum verticillare,Miraglossum verticillare,Miraglossum verticillare,Coinciden,Coinciden las tres fuentes
Miraglossum.pilosum,Miraglossum pilosum,Miraglossum pilosum,Miraglossum pilosum,Coinciden,Coinciden las tres fuentes
Mitraria.coccinea,Mitraria coccinea,Mitraria coccinea,Mitraria coccinea,Coinciden,Coinciden las tres fuentes
Moehringia.lateriflora,Moehringia lateriflora,Moehringia lateriflora,Moehringia lateriflora,Coinciden,Coinciden las tres fuentes
Molinaea.macrantha,Molinaea macrantha,Molinaea macrantha,Molinaea macrantha,Coinciden,Coinciden las tres fuentes
Molinaea.alternifolia,Molinaea alternifolia,Molinaea alternifolia,Molinaea alternifolia,Coinciden,Coinciden las tres fuentes
Mollugo.verticillata,Mollugo verticillata,,Mollugo verticillata,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Momordica.charantia.,Momordica charantia,Momordica charantia,Momordica charantia,Coinciden,Coinciden las tres fuentes
Monarda.bradburiana,Monarda bradburiana,Monarda bradburyana,Monarda bradburyana,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Monarda.fistulosa,Monarda fistulosa,Monarda fistulosa,Monarda fistulosa,Coinciden,Coinciden las tres fuentes
Monimiastrum.globosum,Eugenia kanakana,Eugenia kanakana,Eugenia kanakana,Coinciden,Coinciden las tres fuentes
Monochoria.korsakowii,Pontederia korsakowii,Pontederia korsakowii,Pontederia korsakowii,Coinciden,Coinciden las tres fuentes
Monochoria.vaginalis,Pontederia vaginalis,Pontederia vaginalis,Pontederia vaginalis,Coinciden,Coinciden las tres fuentes
Montiopsis.gilliesii.,Montiopsis gilliesii,Montiopsis gilliesii,Montiopsis gilliesii,Coinciden,Coinciden las tres fuentes
Montricharida.arborescens,,Montrichardia arborescens,Montrichardia arborescens,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Morinda.citrifolia,Morinda citrifolia,Morinda citrifolia,Morinda citrifolia,Coinciden,Coinciden las tres fuentes
Morinda.umbellata,Morinda umbellata,Gynochthodes umbellata,Gynochthodes umbellata,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Morinda.royoc,Morinda royoc,Morinda royoc,Morinda royoc,Coinciden,Coinciden las tres fuentes
Mormordica.charantia,,Momordica charantia,Momordica charantia,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Mosla.dianthera,Mosla dianthera,Mosla dianthera,Mosla dianthera,Coinciden,Coinciden las tres fuentes
Muehlenbeckia.complexa,Muehlenbeckia complexa,Muehlenbeckia complexa,Muehlenbeckia complexa,Coinciden,Coinciden las tres fuentes
Muehlenbeckia.axillaris,Muehlenbeckia axillaris,Muehlenbeckia axillaris,,Revisar,Coinciden GBIF y rWCVP; WFO sin resultado
Mulinum.spinosum,Azorella prolifera,Azorella prolifera,Azorella prolifera,Coinciden,Coinciden las tres fuentes
Murdannia.keisak,Murdannia keisak,Murdannia keisak,Murdannia keisak,Coinciden,Coinciden las tres fuentes
Musa.balbisiana,Musa balbisiana,Musa balbisiana,Musa balbisiana,Coinciden,Coinciden las tres fuentes
Musaenda.parviflora,,,Mussaenda parviflora,Revisar,Falta resultado en una o más fuentes
Muscari.comosum,Muscari comosum,Muscari comosum,Muscari comosum,Coinciden,Coinciden las tres fuentes
Muscari.commutatum,Muscari commutatum,Muscari commutatum,Muscari commutatum,Coinciden,Coinciden las tres fuentes
Muscari.neglectum,Muscari neglectum,Muscari neglectum,Muscari neglectum,Coinciden,Coinciden las tres fuentes
Mustisia.subulata,,Mutisia subulata,Mutisia subulata,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Mustisia.sinuata,,Mutisia sinuata,Mutisia sinuata,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Mustisia.acerosa,,Mutisia acerosa,Mutisia acerosa,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Mutisia.decurrens,Mutisia decurrens,Mutisia decurrens,Mutisia decurrens,Coinciden,Coinciden las tres fuentes
Myonima.violacea,Ixora parviflora var. parviflora,Ixora parviflora var. parviflora,Ixora parviflora var. parviflora,Coinciden,Coinciden las tres fuentes
Myonima.violacea.var.ovata,Ixora parviflora var. ovata,Ixora parviflora var. ovata,Ixora parviflora var. ovata,Coinciden,Coinciden las tres fuentes
Myosotis.virginica,Myosotis virginica,Myosotis verna,Myosotis verna,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Myosotis.palustris,,Myosotis scorpioides subsp. scorpioides,Myosotis scorpioides,Revisar,Falta resultado en una o más fuentes
Myosurus.minimus,Myosurus minimus,Ranunculus minimus,Ranunculus minimus,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Myrceugenia.ovata.var..ovata,Myrceugenia ovata var. ovata,Myrceugenia ovata var. ovata,Myrceugenia ovata var. ovata,Coinciden,Coinciden las tres fuentes
Myrceugenia.parvifolia,Myrceugenia parvifolia,Myrceugenia parvifolia,Myrceugenia parvifolia,Coinciden,Coinciden las tres fuentes
Myrceugenia.planipes,Myrceugenia planipes,Myrceugenia planipes,Myrceugenia planipes,Coinciden,Coinciden las tres fuentes
Myrsine.segttinii,,Myrsine seguinii,Myrsine seguinii,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Myrteola.nummularia,Myrteola nummularia,Myrteola nummularia,Myrteola nummularia,Coinciden,Coinciden las tres fuentes
Myrtus.communis,Myrtus communis,,Myrtus communis,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Nandina.domestica,Nandina domestica,Nandina domestica,Nandina domestica,Coinciden,Coinciden las tres fuentes
Nardophyllum.lanatum,Nardophyllum lanatum,Nardophyllum lanatum,Nardophyllum lanatum,Coinciden,Coinciden las tres fuentes
Nassauvia.lagascae,Nassauvia lagascae,,Nassauvia lagascae,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Nassauvia.pinnigera,Nassauvia pinnigera,Nassauvia pinnigera,Nassauvia pinnigera,Coinciden,Coinciden las tres fuentes
Nassauvia.pungens,Nassauvia pyramidalis,Nassauvia pyramidalis,Nassauvia pyramidalis,Coinciden,Coinciden las tres fuentes
Nassauvia.heterophylla,,,Nassauvia magellanica,Revisar,Falta resultado en una o más fuentes
Nassauvia.axillaris,Nassauvia axillaris,Nassauvia axillaris,Nassauvia axillaris,Coinciden,Coinciden las tres fuentes
Nastanthus.aglomeratus,Gamocarpha ventosa,Gamocarpha ventosa,Gamocarpha ventosa,Coinciden,Coinciden las tres fuentes
Nastanthus.spathulatus,Gamocarpha scapigera,Gamocarpha scapigera,Gamocarpha scapigera,Coinciden,Coinciden las tres fuentes
Nectandra.coriacea,,,Damburneya coriacea,Revisar,Falta resultado en una o más fuentes
Nelumbo.lutea,Nelumbo lutea,Nelumbo lutea,Nelumbo lutea,Coinciden,Coinciden las tres fuentes
Nemopanthus.mucronata,Ilex mucronata,Ilex mucronata,Ilex mucronata,Coinciden,Coinciden las tres fuentes
Neopaxia.australasica,Montia australasica,Montia australasica,Neopaxia australasica,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Neoregelia.magdalaenae,,Neoregelia magdalenae,Neoregelia magdalenae,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Neoregelia.sp,,,,Revisar,Sin resultados en las tres fuentes
Nepenthes.pervillei,Nepenthes pervillei,Nepenthes pervillei,Nepenthes pervillei,Coinciden,Coinciden las tres fuentes
Nepeta.teydea,Nepeta teydea,Nepeta teydea,Nepeta teydea,Coinciden,Coinciden las tres fuentes
Nepeta.hederacea,Nepeta hederacea,Glechoma hederacea,Glechoma hederacea,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Nepeta.cataria,Nepeta cataria,Nepeta cataria,Nepeta cataria,Coinciden,Coinciden las tres fuentes
Nephrosperma.vanhoutteanum,Nephrosperma vanhoutteanum,Nephrosperma vanhoutteanum,Nephrosperma vanhoutteanum,Coinciden,Coinciden las tres fuentes
Nidularium.procerum,Nidularium procerum,Nidularium procerum,Nidularium procerum,Coinciden,Coinciden las tres fuentes
Nidularium.campo-alegrensis,Nidularium campo-alegrensis,Nidularium campo-alegrensis,Nidularium campo-alegrensis,Coinciden,Coinciden las tres fuentes
Nidularium.cariacicaense,Nidularium cariacicaense,Nidularium cariacicaense,Nidularium cariacicaense,Coinciden,Coinciden las tres fuentes
Nigella.arvensis,Nigella arvensis,,Nigella arvensis,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Noechamaelea.pulverulenta,,Cneorum pulverulentum,Cneorum pulverulentum,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Nolana.galapagensis,Nolana galapagensis,Nolana galapagensis,Nolana galapagensis,Coinciden,Coinciden las tres fuentes
Northea.hornei,Northia seychellana,Northia seychellana,Northia seychellana,Coinciden,Coinciden las tres fuentes
Nothoscordum.andinum,Latace andina,Latace andina,Latace andina,Coinciden,Coinciden las tres fuentes
Nothoscordum.bivalve,Nothoscordum bivalve,Nothoscordum bivalve,Nothoscordum bivalve,Coinciden,Coinciden las tres fuentes
Nothoscordum.bonariense,Nothoscordum bonariense,Nothoscordum bonariense,Nothoscordum bonariense,Coinciden,Coinciden las tres fuentes
Notopora.schomburgkii,Notopora schomburgkii,Notopora schomburgkii,Notopora schomburgkii,Coinciden,Coinciden las tres fuentes
Nototriche.compacta,Nototriche compacta,Nototriche compacta,Nototriche compacta,Coinciden,Coinciden las tres fuentes
Nymphaea.advena,Nuphar advena subsp. advena,Nuphar advena,Nuphar advena,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Nymphaea.marliacea,Nymphaea ×marliacea,,,Revisar,Falta resultado en una o más fuentes
Ochna.kirkii,Ochna kirkii,Ochna kirkii,Ochna kirkii,Coinciden,Coinciden las tres fuentes
